[Sat Oct 28 20:16:20 2023] ThreadID[28744]	Start Program.
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[MESSAGE]	Begin Reading Game Level Text File.
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[USING PATH]	../Levels/GameLevel.txt
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: Platform_4x4
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X 4.160200 Y 0.000000 Z 0.875600
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: Platform_4x4.001
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X 4.693000 Y 0.016700 Z 8.798000
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: Platform_4x4.002
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X -11.098000 Y 0.000000 Z 8.537100
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: Platform_4x4.003
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X -18.367100 Y 0.000000 Z 2.559700
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: Platform_2x2
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X -10.842800 Y 1.062200 Z -1.952200
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: Platform_2x2.001
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X -0.326400 Y 0.000000 Z 6.237500
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: Platform_2x2.002
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X -13.928200 Y -0.242700 Z -1.513400
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: Platform_4x1
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X -9.400400 Y 2.375600 Z -5.213000
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: Platform_4x1.001
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X -5.401500 Y 1.224500 Z 8.688000
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: Character
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X 4.160200 Y 0.000000 Z 0.875600
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: Sign_4
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X 3.712300 Y -1.061000 Z 6.565300
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: Platform_4x4.004
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X -16.230499 Y 1.887800 Z 8.537100
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: Light_Street_2
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X -1.226400 Y 0.000000 Z 5.775900
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: Light_Street_2.001
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X -18.317699 Y 1.726500 Z 8.139700
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: Light_Street_2.002
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X -8.769700 Y 2.299100 Z -6.420300
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: Light_Street_2.004
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X -9.435900 Y -0.126900 Z 7.208000
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: Tank
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X 5.257700 Y -0.391800 Z 7.203700
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: Rail_Long
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X -10.443100 Y 0.000000 Z 6.924300
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: Lootbox
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X -9.881200 Y 0.000000 Z 7.288400
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: Lootbox.001
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X -10.639100 Y 0.025800 Z 7.284600
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: Pipe_2
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X -19.927299 Y 0.000000 Z 3.269600
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: Pipe_2.001
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X -19.927299 Y 0.000000 Z 2.826800
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: Pipe_2.002
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X -19.927299 Y 0.000000 Z 2.426300
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: AC_Stacked
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X -21.366600 Y -1.072800 Z 0.931900
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: AC_Stacked.001
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X -21.037901 Y -1.072800 Z 1.327300
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: Rail_Short
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X -20.344000 Y -0.982500 Z 1.781200
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: Rail_Short.001
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X -20.539400 Y -1.016300 Z 2.016900
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: Platform_4x4.005
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X -12.440000 Y -0.298800 Z -9.424800
